time,bitcoins
2010/1/24 0:00,1806300
2010/1/26 0:00,1826550
2010/1/28 0:00,1844050
2010/1/30 0:00,1862700
2010/2/1 0:00,1881950
2010/2/3 0:00,1901200
2010/2/5 0:00,1925000
2010/2/7 0:00,1944900
2010/2/9 0:00,1965900
2010/2/11 0:00,1982750
2010/2/13 0:00,2003300
2010/2/15 0:00,2022850
2010/2/17 0:00,2043200
2010/2/19 0:00,2063600
2010/2/21 0:00,2085400
2010/2/23 0:00,2110700
2010/2/25 0:00,2127600
2010/2/27 0:00,2144750
2010/3/1 0:00,2162150
2010/3/3 0:00,2179350
2010/3/5 0:00,2197200
2010/3/7 0:00,2215000
2010/3/9 0:00,2229200
2010/3/11 0:00,2243950
2010/3/13 0:00,2257750
2010/3/15 0:00,2270200
2010/3/17 0:00,2283150
2010/3/19 0:00,2297600
2010/3/21 0:00,2316300
2010/3/23 0:00,2335400
2010/3/25 0:00,2353400
2010/3/27 0:00,2371850
2010/3/29 0:00,2391150
2010/3/31 0:00,2412050
2010/4/2 0:00,2428900
2010/4/4 0:00,2445500
2010/4/6 0:00,2461050
2010/4/8 0:00,2480450
2010/4/10 0:00,2501300
2010/4/12 0:00,2524100
2010/4/14 0:00,2542350
2010/4/16 0:00,2562750
2010/4/18 0:00,2586500
2010/4/20 0:00,2607600
2010/4/22 0:00,2627500
2010/4/24 0:00,2642350
2010/4/26 0:00,2659300
2010/4/28 0:00,2676550
2010/4/30 0:00,2692150
2010/5/2 0:00,2708800
2010/5/4 0:00,2723300
2010/5/6 0:00,2738150
2010/5/8 0:00,2752100
2010/5/10 0:00,2766050
2010/5/12 0:00,2777850
2010/5/14 0:00,2790350
2010/5/16 0:00,2800450
2010/5/18 0:00,2816050
2010/5/20 0:00,2833300
2010/5/22 0:00,2852150
2010/5/24 0:00,2872400
2010/5/26 0:00,2893750
2010/5/28 0:00,2914450
2010/5/30 0:00,2931850
2010/6/1 0:00,2946100
2010/6/3 0:00,2960600
2010/6/5 0:00,2974200
2010/6/7 0:00,2989550
2010/6/9 0:00,3005550
2010/6/11 0:00,3022300
2010/6/13 0:00,3037200
2010/6/15 0:00,3054600
2010/6/17 0:00,3069100
2010/6/19 0:00,3084400
2010/6/21 0:00,3101150
2010/6/23 0:00,3117600
2010/6/25 0:00,3134300
2010/6/27 0:00,3150400
2010/6/29 0:00,3166600
2010/7/1 0:00,3186200
2010/7/3 0:00,3204950
2010/7/5 0:00,3223050
2010/7/7 0:00,3239150
2010/7/9 0:00,3256500
2010/7/11 0:00,3275100
2010/7/13 0:00,3337950
2010/7/15 0:00,3397850
2010/7/17 0:00,3436900
2010/7/19 0:00,3454050
2010/7/21 0:00,3473050
2010/7/23 0:00,3492100
2010/7/25 0:00,3512050
2010/7/27 0:00,3533800
2010/7/29 0:00,3550650
2010/7/31 0:00,3569200
2010/8/2 0:00,3592950
2010/8/4 0:00,3615750
2010/8/6 0:00,3636000
